Wavelength,Intensity
4004.0,0.1420072
4008.0,0.2909141
4012.0,0.2924118
4016.0,0.3679621
4020.0,0.359865
4024.0,0.1893839
4028.0,0.2685479
4032.0,0.2109162
4036.0,0.1919333
4040.0,0.1197941
4044.0,0.2082668
4048.0,0.2733384
4052.0,0.1550406
4056.0,0.09299444
4060.0,0.1615233
4064.0,0.2692055
4068.0,0.2211341
4072.0,0.2363854
4076.0,0.1635518
4080.0,0.144147
4084.0,0.1471072
4088.0,0.2140851
4092.0,0.2345335
4096.0,0.2517388
4100.0,0.2113582
4104.0,0.2155345
4108.0,0.3072449
4112.0,0.3398289
4116.0,0.248579
4120.0,0.2438382
4124.0,0.1798311
4128.0,0.2018536
4132.0,0.2007121
4136.0,0.1943724
4140.0,0.2729645
4144.0,0.1660273
4148.0,0.1378652
4152.0,0.2422825
4156.0,0.1938263
4160.0,0.09388576
4164.0,0.1008648
4168.0,0.125414
4172.0,0.2092241
4176.0,0.2172869
4180.0,0.1710175
4184.0,0.103291
4188.0,0.1558786
4192.0,0.2501129
4196.0,0.1606306
4200.0,0.05249709
4204.0,0.1548912
4208.0,0.2126173
4212.0,0.2470901
4216.0,0.2292872
4220.0,0.1985782
4224.0,0.1763031
4228.0,0.165513
4232.0,0.1184725
4236.0,0.1939121
4240.0,0.2766215
4244.0,0.2154524
4248.0,0.135767
4252.0,0.1232735
4256.0,0.1400547
4260.0,0.1107008
4264.0,0.1155714
4268.0,0.1259444
4272.0,0.1314428
4276.0,0.1638565
4280.0,0.1417611
4284.0,0.1694081
4288.0,0.1980955
4292.0,0.1833199
4296.0,0.2271576
4300.0,0.2382328
4304.0,0.1853834
4308.0,0.2928143
4312.0,0.204084
4316.0,0.1539204
4320.0,0.2120976
4324.0,0.2131693
4328.0,0.2917558
4332.0,0.2964148
4336.0,0.2226293
4340.0,0.2718409
4344.0,0.3318122
4348.0,0.3045537
4352.0,0.2795924
4356.0,0.2494107
4360.0,0.2134883
4364.0,0.1785415
4368.0,0.1493064
4372.0,0.1940522
4376.0,0.1659947
4380.0,0.2013477
4384.0,0.2730797
4388.0,0.182433
4392.0,0.2313727
4396.0,0.2574753
4400.0,0.08362111
4404.0,0.1989362
4408.0,0.1584271
4412.0,0.1849576
4416.0,0.2130539
4420.0,0.1278246
4424.0,0.1589737
4428.0,0.2147707
4432.0,0.2641606
4436.0,0.1616769
4440.0,0.06702726
4444.0,0.1449766
4448.0,0.2355288
4452.0,0.3263268
4456.0,0.2954358
4460.0,0.1253227
4464.0,0.2045247
4468.0,0.2619109
4472.0,0.2221402
4476.0,0.1848363
4480.0,0.1137785
4484.0,0.2605172
4488.0,0.3730713
4492.0,0.2647818
4496.0,0.08069589
4500.0,0.1211801
4504.0,0.3069264
4508.0,0.3105866
4512.0,0.1878406
4516.0,0.2066697
4520.0,0.1800972
4524.0,0.1453972
4528.0,0.08850605
4532.0,0.09097536
4536.0,0.1749189
4540.0,0.2002834
4544.0,0.1828842
4548.0,0.1820027
4552.0,0.2291153
4556.0,0.3343444
4560.0,0.217285
4564.0,0.05227498
4568.0,0.1298852
4572.0,0.09803624
4576.0,0.2840626
4580.0,0.3658466
4584.0,0.2368652
4588.0,0.2758022
4592.0,0.2301525
4596.0,0.2157997
4600.0,0.2180398
4604.0,0.1672671
4608.0,0.2600039
4612.0,0.2722028
4616.0,0.2874163
4620.0,0.1957108
4624.0,0.1540564
4628.0,0.2214894
4632.0,0.1838187
4636.0,0.1941943
4640.0,0.1253142
4644.0,0.21583
4648.0,0.3272738
4652.0,0.2149907
4656.0,0.1154007
4660.0,0.109737
4664.0,0.1690506
4668.0,0.3267197
4672.0,0.2751924
4676.0,0.1411169
4680.0,0.2509335
4684.0,0.3397861
4688.0,0.3844995
4692.0,0.252917
4696.0,0.2751595
4700.0,0.2493005
4704.0,0.2423649
4708.0,0.2698601
4712.0,0.2287232
4716.0,0.2218639
4720.0,0.1795314
4724.0,0.2097432
4728.0,0.2654387
4732.0,0.1521906
4736.0,0.09903248
4740.0,0.1254767
4744.0,0.1790221
4748.0,0.1895084
4752.0,0.08767176
4756.0,0.3101861
4760.0,0.3067734
4764.0,0.1513959
4768.0,0.21561
4772.0,0.2463748
4776.0,0.1778359
4780.0,0.1596863
4784.0,0.1860161
4788.0,0.211905
4792.0,0.25204
4796.0,0.2585935
4800.0,0.2577003
4804.0,0.2552576
4808.0,0.1366978
4812.0,0.2263197
4816.0,0.2237701
4820.0,0.2021286
4824.0,0.1951776
4828.0,0.2184369
4832.0,0.2260956
4836.0,0.2534553
4840.0,0.1983738
4844.0,0.1303055
4848.0,0.09274925
4852.0,0.1620143
4856.0,0.2476137
4860.0,0.1382425
4864.0,0.2464863
4868.0,0.2363028
4872.0,0.2275844
4876.0,0.1170763
4880.0,0.09525438
4884.0,0.1403828
4888.0,0.1504583
4892.0,0.2036044
4896.0,0.1216634
4900.0,0.2499912
4904.0,0.285686
4908.0,0.2101337
4912.0,0.1695432
4916.0,0.1522966
4920.0,0.2446573
4924.0,0.1838795
4928.0,0.2913913
4932.0,0.2266241
4936.0,0.1358459
4940.0,0.2219911
4944.0,0.3288003
4948.0,0.4141828
4952.0,0.3636519
4956.0,0.2207319
4960.0,0.1801704
4964.0,0.1252539
4968.0,0.2148274
4972.0,0.2440989
4976.0,0.2334886
4980.0,0.2988307
4984.0,0.1484212
4988.0,0.243013
4992.0,0.2906233
4996.0,0.229954
5000.0,0.2856833
5004.0,0.1432012
5008.0,0.2727942
5012.0,0.2832889
5016.0,0.1520051
5020.0,0.2844277
5024.0,0.1384155
5028.0,0.1730244
5032.0,0.1816902
5036.0,0.3095433
5040.0,0.2527678
5044.0,0.317386
5048.0,0.2551966
5052.0,0.03982428
5056.0,0.124197
5060.0,0.3380558
5064.0,0.4329701
5068.0,0.2790118
5072.0,0.3121232
5076.0,0.3282833
5080.0,0.1408528
5084.0,0.07606023
5088.0,0.09321122
5092.0,0.1564433
5096.0,0.2121075
5100.0,0.1679026
5104.0,0.243366
5108.0,0.3207375
5112.0,0.2466338
5116.0,0.1813139
5120.0,0.1361756
5124.0,0.1763121
5128.0,0.2726531
5132.0,0.2024812
5136.0,0.1744369
5140.0,0.2133859
5144.0,0.189931
5148.0,0.1900198
5152.0,0.2496773
5156.0,0.3058799
5160.0,0.2214592
5164.0,0.2388942
5168.0,0.2036752
5172.0,0.193914
5176.0,0.184968
5180.0,0.1234782
5184.0,0.1503894
5188.0,0.2320224
5192.0,0.2638139
5196.0,0.1403099
5200.0,0.2338898
5204.0,0.240397
5208.0,0.1340207
5212.0,0.1883146
5216.0,0.1286028
5220.0,0.0678199
5224.0,0.1043251
5228.0,0.08192848
5232.0,0.09049536
5236.0,0.1434468
5240.0,0.1078311
5244.0,0.05331245
5248.0,0.1357039
5252.0,0.1763786
5256.0,0.1256053
5260.0,0.2239412
5264.0,0.327847
5268.0,0.265864
5272.0,0.23086
5276.0,0.1881594
5280.0,0.1988334
5284.0,0.2988441
5288.0,0.3066275
5292.0,0.2883195
5296.0,0.2329159
5300.0,0.1543207
5304.0,0.1669478
5308.0,0.236222
5312.0,0.281933
5316.0,0.2169077
5320.0,0.1402597
5324.0,0.2096157
5328.0,0.3099607
5332.0,0.2956344
5336.0,0.2105861
5340.0,0.1763712
5344.0,0.1659288
5348.0,0.1109639
5352.0,0.1751012
5356.0,0.1733092
5360.0,0.1602385
5364.0,0.2432359
5368.0,0.1741474
5372.0,0.1359307
5376.0,0.191922
5380.0,0.2179842
5384.0,0.1597514
5388.0,0.0995172
5392.0,0.1309917
5396.0,0.1967822
5400.0,0.1301366
5404.0,0.1280114
5408.0,0.1496577
5412.0,0.1084996
5416.0,0.1665893
5420.0,0.09692256
5424.0,0.1092405
